id,Einstein_Radius_actual,Einstein_radius_Inception,Einstein_Radius_Sequential,Einstein_Radius_ResNet,Einstein_Radius_ResNetXt,Sigma_V_actual,Sigma_V_Inception,Sigma_V_Sequential,Sigma_V_ResNet,Sigma_V_ResNetXt,RedShift_Lens_ZL_actual,RedShift_Lens_ZL_Inception,RedShift_Lens_ZL_Sequential,RedShift_Lens_ZL_ResNet,RedShift_Lens_ZL_ResNetXt,Redshift_Source_ZS_actual,Redshift_Source_ZS_Inception,Redshift_Source_ZS_Sequential,Redshift_Source_ZS_ResNet,Redshift_Source_ZS_ResNetXt
143,1.023,0.978872,1.12351,0.921219,1.0614,228.059,245.161,256.52,247.921,244.462,0.379,0.412391,0.460385,0.427093,0.412446,1.661,1.42527,1.73381,1.05828,1.42072
144,1.712,1.64093,1.60871,1.43056,1.65248,292.257,321.271,303.366,282.842,309.528,0.326,0.392436,0.371347,0.357092,0.380225,1.427,1.22474,1.38397,1.50114,1.63773
145,1.37,1.44604,1.65941,1.28463,1.60407,233.681,255.447,253.02,240.214,256.567,0.212,0.264049,0.263754,0.235712,0.286452,3.307,1.45736,1.9189,1.6559,1.34459
146,1.458,1.49307,1.45124,1.49166,1.8575,324.931,326.006,323.562,321.348,339.603,0.568,0.54939,0.564911,0.638295,0.547938,1.333,1.78702,1.94695,1.78179,1.82485
147,1.203,1.32593,1.21116,1.21673,1.24133,298.005,296.83,278.335,280.894,273.959,0.642,0.563429,0.521175,0.5206,0.67023,1.518,1.4263,2.10694,2.06823,1.55569
148,1.452,1.46899,1.49457,1.41523,1.46343,358.968,323.576,330.047,311.987,335.602,0.934,0.820587,0.923063,0.735148,0.882343,1.98,2.41912,2.72367,2.09671,2.20578
149,1.316,1.40349,1.41037,1.37536,1.34745,250.266,232.922,225.321,242.357,238.755,0.276,0.251279,0.244746,0.298061,0.218976,1.345,2.50512,1.82273,1.74982,1.49569
150,1.086,1.12266,1.02629,1.108,1.03621,219.125,208.456,223.999,231.067,225.76,0.422,0.401764,0.401165,0.505031,0.462012,4.571,4.77075,2.67399,4.2617,3.19221
151,1.79,1.86882,1.99264,1.93693,1.82623,304.6,321.717,310.948,306.312,310.779,0.376,0.36271,0.341351,0.362601,0.385057,1.537,2.20304,1.9175,2.20156,1.96118
152,1.177,0.992082,1.07018,1.18871,1.23163,224.669,220.139,214.68,242.735,217.692,0.284,0.306101,0.289758,0.314612,0.288557,2.604,1.87222,1.99962,0.971603,1.2442
153,1.17,1.03074,1.17598,1.18654,1.22396,238.48,228.333,218.483,230.276,226.39,0.182,0.161699,0.19187,0.220824,0.201109,0.737,1.54527,1.26339,1.37536,1.85113
155,1.201,1.14529,1.13359,1.19522,1.25494,234.025,243.406,249.95,235.299,256.226,0.357,0.414316,0.355026,0.398004,0.37657,2.516,1.28811,1.76664,2.03099,1.26632
156,1.882,2.15254,1.95137,1.70468,2.08841,277.493,269.388,274.94,260.868,282.855,0.188,0.191682,0.175629,0.196713,0.199509,1.906,1.46293,1.23422,1.59363,1.7357
157,1.236,1.2737,1.24818,1.31065,1.18175,259.19,265.18,285.273,272.791,272.255,0.516,0.54858,0.573123,0.489882,0.538837,2.13,1.6311,1.96541,2.47508,1.6994
158,1.749,1.83994,1.85199,1.85432,1.75269,270.674,301.318,294.28,272.018,284.785,0.189,0.217614,0.219344,0.178012,0.214002,1.571,1.53959,1.36169,1.26038,1.39805
159,1.656,1.4831,1.65213,1.55917,1.36903,314.898,277.689,278.545,311.525,277.289,0.618,0.58651,0.632692,0.705778,0.612035,2.137,1.41908,2.02687,1.8686,2.03832
160,1.339,1.36399,1.27609,1.2603,1.31192,292.141,293.999,297.656,290.54,307.412,0.58,0.576689,0.605612,0.639592,0.612858,1.692,1.38014,1.96555,1.93497,1.79781
161,1.857,1.36117,1.45582,1.49513,1.31676,296.478,271.755,269.654,279.095,278.115,0.428,0.373759,0.3784,0.296619,0.385885,2.801,1.96758,1.47713,1.35605,1.28145
162,1.594,1.71689,1.66303,1.63554,1.63106,272.32,287.245,292.318,268.808,314.758,0.288,0.340265,0.28238,0.295583,0.330347,1.581,1.46194,1.37511,1.50343,1.54813
163,1.064,1.14058,1.30139,1.2025,1.15263,234.616,225.984,231.401,235.965,232.086,0.306,0.310727,0.33292,0.331981,0.351725,1.168,1.59913,1.94395,1.97893,2.29544
164,1.542,1.28375,1.62006,1.63756,1.44566,266.9,253.23,257.006,268.841,255.476,0.335,0.334684,0.315584,0.360538,0.35491,2.078,1.36818,1.98032,1.6782,2.37446
