id,Einstein_Radius_actual,Einstein_radius_Inception,Einstein_Radius_Sequential,Einstein_Radius_ResNet,Einstein_Radius_ResNetXt,Sigma_V_actual,Sigma_V_Inception,Sigma_V_Sequential,Sigma_V_ResNet,Sigma_V_ResNetXt,RedShift_Lens_ZL_actual,RedShift_Lens_ZL_Inception,RedShift_Lens_ZL_Sequential,RedShift_Lens_ZL_ResNet,RedShift_Lens_ZL_ResNetXt,Redshift_Source_ZS_actual,Redshift_Source_ZS_Inception,Redshift_Source_ZS_Sequential,Redshift_Source_ZS_ResNet,Redshift_Source_ZS_ResNetXt
42,1.222,1.18286,1.16973,1.05816,1.15028,242.688,251.646,243.944,251.507,253.979,0.333,0.357776,0.377672,0.378089,0.367625,1.685,1.74122,1.58648,2.35114,1.96409
43,1.034,1.0739,0.984466,0.997334,1.00819,249.822,256.368,247.153,251.184,247.25,0.611,0.65799,0.616369,0.544229,0.628942,2.059,2.79278,2.28627,1.88646,1.92655
44,0.895,0.884974,0.864983,0.931413,0.897017,233.15,270.077,236.393,235.115,223.751,0.688,0.808971,0.913713,0.850583,0.758244,2.439,2.34216,2.90668,2.76076,2.07989
45,1.164,1.4854,1.06283,1.06442,1.08551,236.588,236.741,240.422,235.238,248.5,0.457,0.506256,0.470432,0.482575,0.434591,2.901,1.70351,2.66349,2.15652,2.42568
46,0.866,0.749602,0.969611,0.649933,0.805025,322.448,320.203,285.395,263.971,289.727,1.502,1.47956,1.12201,1.0625,1.10607,2.788,3.14777,2.61835,2.26769,2.30362
47,0.993,0.938972,0.992262,1.02756,0.902539,258.19,266.568,283.953,254.208,265.232,0.751,0.653778,0.937098,0.729028,0.763558,2.219,2.51641,2.43248,2.89574,2.46426
48,0.772,0.874231,0.888155,0.925177,0.832042,214.295,218.364,220.608,230.403,211.411,0.468,0.540449,0.444087,0.56629,0.535484,1.451,2.3965,2.20753,2.78674,1.9165
49,1.286,1.33867,1.21481,1.18259,1.20187,260.879,265.81,270.665,262.673,260.117,0.544,0.556018,0.599321,0.553245,0.552111,2.554,2.44271,2.06412,1.88196,3.14172
50,0.826,0.953221,0.894592,0.910233,0.891366,287.248,218.235,221.125,216.175,226.768,0.809,0.674738,0.653296,0.5264,0.728312,1.47,2.57418,2.43327,2.68825,1.54919
51,1.331,1.33354,1.29035,1.29677,1.3492,261.891,259.01,260.121,251.886,250.174,0.439,0.379495,0.422488,0.46415,0.43012,1.978,1.82548,2.22302,2.11835,1.75381
53,1.342,1.44556,1.505,1.30906,1.4692,258.942,267.993,266.89,259.15,271.122,0.351,0.365926,0.348234,0.345297,0.351704,1.582,2.0316,2.17691,2.95504,2.06659
54,1.939,1.93415,1.9568,1.80124,1.89372,290.855,311.062,304.874,294.551,326.743,0.293,0.399553,0.364175,0.331452,0.349086,2.381,1.81387,1.95486,1.67503,1.74278
55,1.569,1.4175,1.33578,1.40751,1.61068,293.637,273.963,277.31,247.149,250.3,0.177,0.157981,0.147455,0.138668,0.13737,0.525,0.760941,1.02726,0.905477,0.783062
56,0.953,0.982809,1.01289,1.11937,1.13072,226.965,221.763,223.053,217.833,223.762,0.37,0.351145,0.411295,0.378188,0.38846,1.33,2.0869,2.13474,1.42488,2.79993
57,1.006,0.961735,1.00047,1.0348,1.02428,268.948,261.093,269.084,275.939,261.488,0.81,0.786129,0.843291,0.895946,0.704465,2.189,2.51191,3.28208,2.27492,2.50786
58,0.863,1.05085,1.23123,1.37727,0.985534,295.325,275.78,274.938,317.397,256.72,0.33,0.349944,0.323103,0.266221,0.357604,0.529,0.878599,1.50243,1.15461,0.88078
59,1.775,2.11144,1.89463,1.86703,2.00478,271.748,286.144,307.008,285.005,308.125,0.243,0.27113,0.254857,0.259226,0.296098,2.574,0.979848,1.67402,1.67847,2.06186
60,1.129,1.18722,1.1174,1.23387,1.16638,277.706,274.014,266.708,265.532,243.327,1.012,1.05136,1.03624,0.86988,1.14447,3.465,3.70685,3.29824,4.75138,3.94407
61,0.937,1.11265,0.976354,0.900947,1.11614,192.266,201.366,179.517,176.637,212.446,0.162,0.208606,0.14525,0.137478,0.150471,2.221,1.72253,0.759534,0.997077,1.13572
